[13:47:18] CPU: 3.02% | RAM: 27.20% | TEMP: 41.0°C
[13:48:18] CPU: 3.28% | RAM: 27.04% | TEMP: 41.0°C
[13:49:18] CPU: 2.78% | RAM: 27.21% | TEMP: 41.0°C
[13:50:18] CPU: 3.77% | RAM: 27.21% | TEMP: 41.0°C
[13:51:18] CPU: 6.19% | RAM: 27.13% | TEMP: 41.0°C
[13:52:18] CPU: 6.23% | RAM: 27.27% | TEMP: 43.0°C
[13:53:18] CPU: 5.61% | RAM: 27.23% | TEMP: 41.0°C
[13:54:18] CPU: 6.35% | RAM: 27.30% | TEMP: 42.0°C
[13:55:18] CPU: 5.36% | RAM: 27.22% | TEMP: 42.0°C
[13:56:18] CPU: 4.83% | RAM: 27.47% | TEMP: 42.0°C
[13:57:18] CPU: 2.53% | RAM: 27.33% | TEMP: 41.0°C
[13:58:18] CPU: 2.77% | RAM: 27.18% | TEMP: 41.0°C
[13:59:18] CPU: 2.78% | RAM: 27.19% | TEMP: 41.0°C
[14:00:18] CPU: 2.52% | RAM: 27.41% | TEMP: 41.0°C
[14:01:18] CPU: 2.03% | RAM: 27.21% | TEMP: 41.0°C
[14:02:18] CPU: 2.52% | RAM: 27.49% | TEMP: 41.0°C
[14:03:18] CPU: 3.03% | RAM: 27.40% | TEMP: 42.0°C
[14:04:18] CPU: 3.01% | RAM: 27.39% | TEMP: 41.0°C
[14:05:18] CPU: 2.02% | RAM: 27.21% | TEMP: 41.0°C
[14:06:18] CPU: 2.02% | RAM: 27.48% | TEMP: 41.0°C
[14:07:18] CPU: 2.53% | RAM: 27.41% | TEMP: 41.0°C
[14:08:18] CPU: 2.28% | RAM: 27.28% | TEMP: 41.0°C
[14:09:18] CPU: 2.27% | RAM: 27.56% | TEMP: 41.0°C
[14:10:18] CPU: 5.06% | RAM: 27.41% | TEMP: 41.0°C
[14:11:18] CPU: 5.87% | RAM: 27.42% | TEMP: 41.0°C
[14:12:18] CPU: 2.53% | RAM: 27.37% | TEMP: 41.0°C
[14:13:18] CPU: 3.27% | RAM: 27.38% | TEMP: 41.0°C
[14:14:18] CPU: 2.78% | RAM: 27.19% | TEMP: 42.0°C
[14:15:18] CPU: 3.32% | RAM: 27.36% | TEMP: 41.0°C
[14:16:18] CPU: 5.15% | RAM: 27.38% | TEMP: 42.0°C
[14:17:18] CPU: 4.87% | RAM: 27.22% | TEMP: 41.0°C
[14:18:18] CPU: 5.14% | RAM: 27.15% | TEMP: 41.0°C
[14:19:18] CPU: 4.62% | RAM: 27.32% | TEMP: 41.0°C
[14:20:18] CPU: 5.63% | RAM: 27.58% | TEMP: 42.0°C
[14:21:18] CPU: 3.58% | RAM: 27.38% | TEMP: 44.0°C
[14:22:18] CPU: 3.02% | RAM: 27.34% | TEMP: 41.0°C
[14:23:18] CPU: 2.54% | RAM: 27.22% | TEMP: 41.0°C
[14:24:18] CPU: 3.02% | RAM: 27.25% | TEMP: 42.0°C
[14:25:18] CPU: 3.27% | RAM: 27.40% | TEMP: 41.0°C
[14:26:18] CPU: 2.06% | RAM: 27.51% | TEMP: 41.0°C
[14:27:18] CPU: 3.01% | RAM: 27.35% | TEMP: 41.0°C
[14:28:18] CPU: 2.26% | RAM: 27.47% | TEMP: 41.0°C
[14:29:18] CPU: 2.53% | RAM: 27.38% | TEMP: 41.0°C
[14:30:18] CPU: 5.91% | RAM: 27.29% | TEMP: 41.0°C
[14:31:18] CPU: 5.45% | RAM: 27.50% | TEMP: 41.0°C
[14:32:18] CPU: 3.05% | RAM: 27.26% | TEMP: 42.0°C
[14:33:18] CPU: 3.05% | RAM: 27.39% | TEMP: 41.0°C
[14:34:18] CPU: 2.26% | RAM: 27.18% | TEMP: 41.0°C
[14:35:18] CPU: 2.03% | RAM: 27.24% | TEMP: 41.0°C
[14:36:18] CPU: 2.52% | RAM: 27.22% | TEMP: 41.0°C
[14:37:18] CPU: 2.55% | RAM: 27.21% | TEMP: 41.0°C
[14:38:18] CPU: 2.28% | RAM: 27.49% | TEMP: 41.0°C
[14:39:18] CPU: 2.02% | RAM: 27.22% | TEMP: 42.0°C
[14:40:18] CPU: 2.76% | RAM: 27.23% | TEMP: 41.0°C
